Prompt-path	Eval-path	SIM-o
english	/opt/gpfs/users/yinfeng/work/tts_eval/tts_eval_datasets/audio/seedtts_en/common_voice_en_10119832.wav	/opt/gpfs/users/shuai/work/block-conversion-b2/OmniVoice/results_b2_final_gs3p0/seedtts_en/common_voice_en_10119832-common_voice_en_10119840.wav	0.62
english	/opt/gpfs/users/yinfeng/work/tts_eval/tts_eval_datasets/audio/seedtts_en/common_voice_en_10119832.wav	/opt/gpfs/users/shuai/work/block-conversion-b2/OmniVoice/results_b2_final_gs3p0/seedtts_en/common_voice_en_10119832-common_voice_en_10119847.wav	0.68
english	/opt/gpfs/users/yinfeng/work/tts_eval/tts_eval_datasets/audio/seedtts_en/common_voice_en_103675.wav	/opt/gpfs/users/shuai/work/block-conversion-b2/OmniVoice/results_b2_final_gs3p0/seedtts_en/common_voice_en_103675-common_voice_en_103676.wav	0.63
english	/opt/gpfs/users/yinfeng/work/tts_eval/tts_eval_datasets/audio/seedtts_en/common_voice_en_103675.wav	/opt/gpfs/users/shuai/work/block-conversion-b2/OmniVoice/results_b2_final_gs3p0/seedtts_en/common_voice_en_103675-common_voice_en_103677.wav	0.36
english	/opt/gpfs/users/yinfeng/work/tts_eval/tts_eval_datasets/audio/seedtts_en/common_voice_en_10933823.wav	/opt/gpfs/users/shuai/work/block-conversion-b2/OmniVoice/results_b2_final_gs3p0/seedtts_en/common_voice_en_10933823-common_voice_en_10933822.wav	0.72
english	/opt/gpfs/users/yinfeng/work/tts_eval/tts_eval_datasets/audio/seedtts_en/common_voice_en_10933823.wav	/opt/gpfs/users/shuai/work/block-conversion-b2/OmniVoice/results_b2_final_gs3p0/seedtts_en/common_voice_en_10933823-common_voice_en_10933825.wav	0.63
english	/opt/gpfs/users/yinfeng/work/tts_eval/tts_eval_datasets/audio/seedtts_en/common_voice_en_120405.wav	/opt/gpfs/users/shuai/work/block-conversion-b2/OmniVoice/results_b2_final_gs3p0/seedtts_en/common_voice_en_120405-common_voice_en_120402.wav	0.67
english	/opt/gpfs/users/yinfeng/work/tts_eval/tts_eval_datasets/audio/seedtts_en/common_voice_en_120405.wav	/opt/gpfs/users/shuai/work/block-conversion-b2/OmniVoice/results_b2_final_gs3p0/seedtts_en/common_voice_en_120405-common_voice_en_120406.wav	0.70
english	/opt/gpfs/users/yinfeng/work/tts_eval/tts_eval_datasets/audio/seedtts_en/common_voice_en_1205005.wav	/opt/gpfs/users/shuai/work/block-conversion-b2/OmniVoice/results_b2_final_gs3p0/seedtts_en/common_voice_en_1205005-common_voice_en_1205007.wav	0.48
english	/opt/gpfs/users/yinfeng/work/tts_eval/tts_eval_datasets/audio/seedtts_en/common_voice_en_1205005.wav	/opt/gpfs/users/shuai/work/block-conversion-b2/OmniVoice/results_b2_final_gs3p0/seedtts_en/common_voice_en_1205005-common_voice_en_1205008.wav	0.50
english	/opt/gpfs/users/yinfeng/work/tts_eval/tts_eval_datasets/audio/seedtts_en/common_voice_en_123125.wav	/opt/gpfs/users/shuai/work/block-conversion-b2/OmniVoice/results_b2_final_gs3p0/seedtts_en/common_voice_en_123125-common_voice_en_123126.wav	0.67
english	/opt/gpfs/users/yinfeng/work/tts_eval/tts_eval_datasets/audio/seedtts_en/common_voice_en_123125.wav	/opt/gpfs/users/shuai/work/block-conversion-b2/OmniVoice/results_b2_final_gs3p0/seedtts_en/common_voice_en_123125-common_voice_en_123127.wav	0.69
english	/opt/gpfs/users/yinfeng/work/tts_eval/tts_eval_datasets/audio/seedtts_en/common_voice_en_125386.wav	/opt/gpfs/users/shuai/work/block-conversion-b2/OmniVoice/results_b2_final_gs3p0/seedtts_en/common_voice_en_125386-common_voice_en_125388.wav	0.69
english	/opt/gpfs/users/yinfeng/work/tts_eval/tts_eval_datasets/audio/seedtts_en/common_voice_en_125386.wav	/opt/gpfs/users/shuai/work/block-conversion-b2/OmniVoice/results_b2_final_gs3p0/seedtts_en/common_voice_en_125386-common_voice_en_125389.wav	0.63
english	/opt/gpfs/users/yinfeng/work/tts_eval/tts_eval_datasets/audio/seedtts_en/common_voice_en_137148.wav	/opt/gpfs/users/shuai/work/block-conversion-b2/OmniVoice/results_b2_final_gs3p0/seedtts_en/common_voice_en_137148-common_voice_en_137152.wav	0.14
english	/opt/gpfs/users/yinfeng/work/tts_eval/tts_eval_datasets/audio/seedtts_en/common_voice_en_13900.wav	/opt/gpfs/users/shuai/work/block-conversion-b2/OmniVoice/results_b2_final_gs3p0/seedtts_en/common_voice_en_13900-common_voice_en_13901.wav	0.54
english	/opt/gpfs/users/yinfeng/work/tts_eval/tts_eval_datasets/audio/seedtts_en/common_voice_en_1416089.wav	/opt/gpfs/users/shuai/work/block-conversion-b2/OmniVoice/results_b2_final_gs3p0/seedtts_en/common_voice_en_1416089-common_voice_en_1416090.wav	0.79
english	/opt/gpfs/users/yinfeng/work/tts_eval/tts_eval_datasets/audio/seedtts_en/common_voice_en_1416089.wav	/opt/gpfs/users/shuai/work/block-conversion-b2/OmniVoice/results_b2_final_gs3p0/seedtts_en/common_voice_en_1416089-common_voice_en_1416093.wav	0.72
english	/opt/gpfs/users/yinfeng/work/tts_eval/tts_eval_datasets/audio/seedtts_en/common_voice_en_15265.wav	/opt/gpfs/users/shuai/work/block-conversion-b2/OmniVoice/results_b2_final_gs3p0/seedtts_en/common_voice_en_15265-common_voice_en_15266.wav	0.63
english	/opt/gpfs/users/yinfeng/work/tts_eval/tts_eval_datasets/audio/seedtts_en/common_voice_en_15265.wav	/opt/gpfs/users/shuai/work/block-conversion-b2/OmniVoice/results_b2_final_gs3p0/seedtts_en/common_voice_en_15265-common_voice_en_15268.wav	0.36
english	/opt/gpfs/users/yinfeng/work/tts_eval/tts_eval_datasets/audio/seedtts_en/common_voice_en_153872.wav	/opt/gpfs/users/shuai/work/block-conversion-b2/OmniVoice/results_b2_final_gs3p0/seedtts_en/common_voice_en_153872-common_voice_en_153873.wav	0.55
english	/opt/gpfs/users/yinfeng/work/tts_eval/tts_eval_datasets/audio/seedtts_en/common_voice_en_153872.wav	/opt/gpfs/users/shuai/work/block-conversion-b2/OmniVoice/results_b2_final_gs3p0/seedtts_en/common_voice_en_153872-common_voice_en_153874.wav	0.63
english	/opt/gpfs/users/yinfeng/work/tts_eval/tts_eval_datasets/audio/seedtts_en/common_voice_en_155313.wav	/opt/gpfs/users/shuai/work/block-conversion-b2/OmniVoice/results_b2_final_gs3p0/seedtts_en/common_voice_en_155313-common_voice_en_155315.wav	0.64
english	/opt/gpfs/users/yinfeng/work/tts_eval/tts_eval_datasets/audio/seedtts_en/common_voice_en_15734837.wav	/opt/gpfs/users/shuai/work/block-conversion-b2/OmniVoice/results_b2_final_gs3p0/seedtts_en/common_voice_en_15734837-common_voice_en_15734838.wav	0.55
