Prompt-path	Eval-path	SIM-o
chinese	/opt/gpfs/users/yinfeng/work/tts_eval/tts_eval_datasets/audio/seedtts_zh/10002287-00000094.wav	/opt/gpfs/users/shuai/work/block-conversion-b2/OmniVoice/results_b2_sweep/steps32/seedtts_zh/10002287-00000095.wav	0.82
chinese	/opt/gpfs/users/yinfeng/work/tts_eval/tts_eval_datasets/audio/seedtts_zh/10002287-00000094.wav	/opt/gpfs/users/shuai/work/block-conversion-b2/OmniVoice/results_b2_sweep/steps32/seedtts_zh/10002287-00000099.wav	0.83
chinese	/opt/gpfs/users/yinfeng/work/tts_eval/tts_eval_datasets/audio/seedtts_zh/10002290-00000094.wav	/opt/gpfs/users/shuai/work/block-conversion-b2/OmniVoice/results_b2_sweep/steps32/seedtts_zh/10002290-00000102.wav	0.76
chinese	/opt/gpfs/users/yinfeng/work/tts_eval/tts_eval_datasets/audio/seedtts_zh/10002290-00000094.wav	/opt/gpfs/users/shuai/work/block-conversion-b2/OmniVoice/results_b2_sweep/steps32/seedtts_zh/10002290-00000011.wav	0.75
chinese	/opt/gpfs/users/yinfeng/work/tts_eval/tts_eval_datasets/audio/seedtts_zh/10002298-00000001.wav	/opt/gpfs/users/shuai/work/block-conversion-b2/OmniVoice/results_b2_sweep/steps32/seedtts_zh/10002298-00000016.wav	0.79
chinese	/opt/gpfs/users/yinfeng/work/tts_eval/tts_eval_datasets/audio/seedtts_zh/10002298-00000001.wav	/opt/gpfs/users/shuai/work/block-conversion-b2/OmniVoice/results_b2_sweep/steps32/seedtts_zh/10002298-00000019.wav	0.82
chinese	/opt/gpfs/users/yinfeng/work/tts_eval/tts_eval_datasets/audio/seedtts_zh/10002309-00000029.wav	/opt/gpfs/users/shuai/work/block-conversion-b2/OmniVoice/results_b2_sweep/steps32/seedtts_zh/10002309-00000033.wav	0.73
chinese	/opt/gpfs/users/yinfeng/work/tts_eval/tts_eval_datasets/audio/seedtts_zh/10002309-00000029.wav	/opt/gpfs/users/shuai/work/block-conversion-b2/OmniVoice/results_b2_sweep/steps32/seedtts_zh/10002309-00000011.wav	0.71
chinese	/opt/gpfs/users/yinfeng/work/tts_eval/tts_eval_datasets/audio/seedtts_zh/10002334-00000029.wav	/opt/gpfs/users/shuai/work/block-conversion-b2/OmniVoice/results_b2_sweep/steps32/seedtts_zh/10002334-00000041.wav	0.64
chinese	/opt/gpfs/users/yinfeng/work/tts_eval/tts_eval_datasets/audio/seedtts_zh/10002334-00000029.wav	/opt/gpfs/users/shuai/work/block-conversion-b2/OmniVoice/results_b2_sweep/steps32/seedtts_zh/10002334-00000043.wav	0.66
chinese	/opt/gpfs/users/yinfeng/work/tts_eval/tts_eval_datasets/audio/seedtts_zh/10002352-00000030.wav	/opt/gpfs/users/shuai/work/block-conversion-b2/OmniVoice/results_b2_sweep/steps32/seedtts_zh/10002352-00000005.wav	0.77
chinese	/opt/gpfs/users/yinfeng/work/tts_eval/tts_eval_datasets/audio/seedtts_zh/10002352-00000030.wav	/opt/gpfs/users/shuai/work/block-conversion-b2/OmniVoice/results_b2_sweep/steps32/seedtts_zh/10002352-00000049.wav	0.77
chinese	/opt/gpfs/users/yinfeng/work/tts_eval/tts_eval_datasets/audio/seedtts_zh/10002394-00000014.wav	/opt/gpfs/users/shuai/work/block-conversion-b2/OmniVoice/results_b2_sweep/steps32/seedtts_zh/10002394-00000006.wav	0.03
chinese	/opt/gpfs/users/yinfeng/work/tts_eval/tts_eval_datasets/audio/seedtts_zh/10002394-00000014.wav	/opt/gpfs/users/shuai/work/block-conversion-b2/OmniVoice/results_b2_sweep/steps32/seedtts_zh/10002394-00000011.wav	0.06
chinese	/opt/gpfs/users/yinfeng/work/tts_eval/tts_eval_datasets/audio/seedtts_zh/10002430-00000103.wav	/opt/gpfs/users/shuai/work/block-conversion-b2/OmniVoice/results_b2_sweep/steps32/seedtts_zh/10002430-00000053.wav	0.69
chinese	/opt/gpfs/users/yinfeng/work/tts_eval/tts_eval_datasets/audio/seedtts_zh/10002430-00000103.wav	/opt/gpfs/users/shuai/work/block-conversion-b2/OmniVoice/results_b2_sweep/steps32/seedtts_zh/10002430-00000015.wav	0.12
