Prompt-path	Eval-path	SIM-o
chinese	/opt/gpfs/users/yinfeng/work/tts_eval/tts_eval_datasets/audio/seedtts_zh/10002287-00000094.wav	/opt/gpfs/users/shuai/work/block-conversion-b2/OmniVoice/results_b2_50k/seedtts_zh/10002287-00000095.wav	0.84
chinese	/opt/gpfs/users/yinfeng/work/tts_eval/tts_eval_datasets/audio/seedtts_zh/10002287-00000094.wav	/opt/gpfs/users/shuai/work/block-conversion-b2/OmniVoice/results_b2_50k/seedtts_zh/10002287-00000099.wav	0.84
chinese	/opt/gpfs/users/yinfeng/work/tts_eval/tts_eval_datasets/audio/seedtts_zh/10002290-00000094.wav	/opt/gpfs/users/shuai/work/block-conversion-b2/OmniVoice/results_b2_50k/seedtts_zh/10002290-00000102.wav	0.72
chinese	/opt/gpfs/users/yinfeng/work/tts_eval/tts_eval_datasets/audio/seedtts_zh/10002290-00000094.wav	/opt/gpfs/users/shuai/work/block-conversion-b2/OmniVoice/results_b2_50k/seedtts_zh/10002290-00000011.wav	0.79
chinese	/opt/gpfs/users/yinfeng/work/tts_eval/tts_eval_datasets/audio/seedtts_zh/10002298-00000001.wav	/opt/gpfs/users/shuai/work/block-conversion-b2/OmniVoice/results_b2_50k/seedtts_zh/10002298-00000016.wav	0.81
chinese	/opt/gpfs/users/yinfeng/work/tts_eval/tts_eval_datasets/audio/seedtts_zh/10002298-00000001.wav	/opt/gpfs/users/shuai/work/block-conversion-b2/OmniVoice/results_b2_50k/seedtts_zh/10002298-00000019.wav	0.81
chinese	/opt/gpfs/users/yinfeng/work/tts_eval/tts_eval_datasets/audio/seedtts_zh/10002309-00000029.wav	/opt/gpfs/users/shuai/work/block-conversion-b2/OmniVoice/results_b2_50k/seedtts_zh/10002309-00000033.wav	0.72
chinese	/opt/gpfs/users/yinfeng/work/tts_eval/tts_eval_datasets/audio/seedtts_zh/10002309-00000029.wav	/opt/gpfs/users/shuai/work/block-conversion-b2/OmniVoice/results_b2_50k/seedtts_zh/10002309-00000011.wav	0.44
chinese	/opt/gpfs/users/yinfeng/work/tts_eval/tts_eval_datasets/audio/seedtts_zh/10002334-00000029.wav	/opt/gpfs/users/shuai/work/block-conversion-b2/OmniVoice/results_b2_50k/seedtts_zh/10002334-00000041.wav	0.66
chinese	/opt/gpfs/users/yinfeng/work/tts_eval/tts_eval_datasets/audio/seedtts_zh/10002334-00000029.wav	/opt/gpfs/users/shuai/work/block-conversion-b2/OmniVoice/results_b2_50k/seedtts_zh/10002334-00000043.wav	-0.09
chinese	/opt/gpfs/users/yinfeng/work/tts_eval/tts_eval_datasets/audio/seedtts_zh/10002352-00000030.wav	/opt/gpfs/users/shuai/work/block-conversion-b2/OmniVoice/results_b2_50k/seedtts_zh/10002352-00000005.wav	0.81
chinese	/opt/gpfs/users/yinfeng/work/tts_eval/tts_eval_datasets/audio/seedtts_zh/10002352-00000030.wav	/opt/gpfs/users/shuai/work/block-conversion-b2/OmniVoice/results_b2_50k/seedtts_zh/10002352-00000049.wav	0.73
chinese	/opt/gpfs/users/yinfeng/work/tts_eval/tts_eval_datasets/audio/seedtts_zh/10002394-00000014.wav	/opt/gpfs/users/shuai/work/block-conversion-b2/OmniVoice/results_b2_50k/seedtts_zh/10002394-00000006.wav	-0.07
