Name	WER	Truth	Hypothesis	Insertions	Deletions	Substitutions
/opt/gpfs/users/shuai/work/block-conversion-b2/OmniVoice/results_b2_final_gs3p0/seedtts_en/common_voice_en_10119832-common_voice_en_10119840.wav	0.0	get the trust fund to the bank early	get the trust fund to the bank early	0	0	0
/opt/gpfs/users/shuai/work/block-conversion-b2/OmniVoice/results_b2_final_gs3p0/seedtts_en/common_voice_en_10119832-common_voice_en_10119847.wav	0.0	the stained glass offered a hypnotic atmosphere	the stained glass offered a hypnotic atmosphere	0	0	0
/opt/gpfs/users/shuai/work/block-conversion-b2/OmniVoice/results_b2_final_gs3p0/seedtts_en/common_voice_en_103675-common_voice_en_103676.wav	0.0	one by one the campfires were extinguished and the oasis fell as quiet as the desert	one by one the campfires were extinguished and the oasis fell as quiet as the desert	0	0	0
/opt/gpfs/users/shuai/work/block-conversion-b2/OmniVoice/results_b2_final_gs3p0/seedtts_en/common_voice_en_103675-common_voice_en_103677.wav	0.0	the boy knew the desert sensed his fear	the boy knew the desert sensed his fear	0	0	0
/opt/gpfs/users/shuai/work/block-conversion-b2/OmniVoice/results_b2_final_gs3p0/seedtts_en/common_voice_en_10933823-common_voice_en_10933822.wav	0.0	when it comes to the crunch our company will become insolvent	when it comes to the crunch our company will become insolvent	0	0	0
/opt/gpfs/users/shuai/work/block-conversion-b2/OmniVoice/results_b2_final_gs3p0/seedtts_en/common_voice_en_10933823-common_voice_en_10933825.wav	0.16666666666666666	the primary coil has fifty turns	the primary coil has 50 turns	0	0	1
/opt/gpfs/users/shuai/work/block-conversion-b2/OmniVoice/results_b2_final_gs3p0/seedtts_en/common_voice_en_120405-common_voice_en_120402.wav	0.0	i'm never more aware of a room's acoustics than when i'm trying to enjoy a snack i have no intention of sharing	i'm never more aware of a room's acoustics than when i'm trying to enjoy a snack i have no intention of sharing	0	0	0
/opt/gpfs/users/shuai/work/block-conversion-b2/OmniVoice/results_b2_final_gs3p0/seedtts_en/common_voice_en_120405-common_voice_en_120406.wav	0.0	the only shadow was that of the few scattered pine trees	the only shadow was that of the few scattered pine trees	0	0	0
/opt/gpfs/users/shuai/work/block-conversion-b2/OmniVoice/results_b2_final_gs3p0/seedtts_en/common_voice_en_1205005-common_voice_en_1205007.wav	0.0	the work of the tailor is seen on each side	the work of the tailor is seen on each side	0	0	0
/opt/gpfs/users/shuai/work/block-conversion-b2/OmniVoice/results_b2_final_gs3p0/seedtts_en/common_voice_en_1205005-common_voice_en_1205008.wav	0.0	nasa plans to launch the rocket tomorrow	nasa plans to launch the rocket tomorrow	0	0	0
/opt/gpfs/users/shuai/work/block-conversion-b2/OmniVoice/results_b2_final_gs3p0/seedtts_en/common_voice_en_123125-common_voice_en_123126.wav	0.07692307692307693	after all who doesn't want to overcome new challenges and achieve great heights	after all who doesn't want to overcome new challenges and achieve great heights uh	1	0	0
/opt/gpfs/users/shuai/work/block-conversion-b2/OmniVoice/results_b2_final_gs3p0/seedtts_en/common_voice_en_123125-common_voice_en_123127.wav	0.0	later we simply let life proceed in its own direction toward its own fate	later we simply let life proceed in its own direction toward its own fate	0	0	0
/opt/gpfs/users/shuai/work/block-conversion-b2/OmniVoice/results_b2_final_gs3p0/seedtts_en/common_voice_en_125386-common_voice_en_125388.wav	0.0	the two men hurried back and found the cylinder still lying in the same position	the two men hurried back and found the cylinder still lying in the same position	0	0	0
